Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
27.06.2022 02:02:11;16,7;17,3;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:05:44;16,7;17,1;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:09:15;16,7;17,1;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:12:47;16,7;17,1;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:16:20;16,7;17,0;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:19:52;16,7;17,2;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:23:24;16,7;17,1;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:26:55;16,7;17,0;82;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:30:28;16,7;17,1;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:34:01;16,7;17,0;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:37:32;16,7;17,1;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:41:04;16,6;17,2;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:44:36;16,6;17,1;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:48:08;16,6;17,1;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:51:40;16,7;17,1;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:55:11;16,7;17,0;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 02:58:44;16,7;16,9;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:02:17;16,7;16,8;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:05:49;16,7;16,8;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:09:21;16,7;16,6;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:12:53;16,7;16,6;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:16:27;16,6;16,7;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:19:58;16,5;16,5;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:23:30;16,4;16,6;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:27:03;16,4;16,5;83;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:30:36;16,5;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:34:07;16,5;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:37:39;16,5;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:41:11;16,4;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:44:44;16,4;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:48:15;16,4;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:51:47;16,4;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:55:19;16,4;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 03:58:51;16,4;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:02:24;16,4;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:05:55;16,4;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:09:27;16,4;16,5;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:12:59;16,3;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:16:33;16,3;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:20:04;16,3;16,6;84;;;;;;;;;;;;;;;;;;;;;;;;
27.06.2022 04:23:36;16,4;16,4;84;;;;;;;;;;;;;;;;;;;;;;;;
