Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
24.10.2022 01:01:55;12,3;12,7;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:05:26;12,3;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:08:58;12,2;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:12:30;12,3;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:16:02;12,2;12,5;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:19:35;12,1;12,2;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:23:07;11,9;12,1;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:26:40;11,8;11,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:30:12;11,7;11,8;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:33:44;11,5;12,2;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:37:15;11,4;11,7;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:40:46;11,4;12,6;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:44:19;11,5;12,7;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:47:51;11,6;13,1;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:51:22;11,7;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:54:53;11,8;13,1;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 01:58:26;12,0;13,2;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:01:58;12,1;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:05:29;12,1;13,2;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:09:01;12,2;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:12:33;12,2;12,6;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:16:06;12,2;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:19:42;12,2;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:23:10;12,3;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:26:42;12,3;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:30:14;12,3;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:33:45;12,3;12,8;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:37:18;12,3;12,9;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:40:49;12,3;12,8;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:44:21;12,3;13,1;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:47:53;12,3;13,0;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:51:25;12,3;13,1;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:54:57;12,4;13,4;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 02:58:29;12,6;13,4;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:02:00;12,6;13,4;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:05:32;12,7;13,6;99;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:09:05;12,8;13,5;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:12:36;12,9;13,5;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:16:07;12,9;13,5;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:19:40;12,9;13,5;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:23:13;12,9;13,4;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:26:45;12,9;13,2;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:30:16;12,8;13,2;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:33:48;12,8;13,3;98;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:37:20;12,8;13,4;97;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:40:53;12,8;13,5;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:44:24;12,9;13,5;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:47:55;13,0;13,4;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:51:28;12,9;13,4;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:55:00;12,9;13,4;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 03:58:32;12,9;13,4;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:02:03;12,9;13,3;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:05:36;12,9;13,3;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:09:08;12,9;13,1;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:12:41;12,8;13,0;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:16:13;12,7;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:19:44;12,6;12,8;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:23:16;12,6;12,9;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:26:47;12,5;13,0;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:30:21;12,5;13,0;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:33:53;12,5;12,8;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:37:25;12,5;12,7;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:40:57;12,4;12,8;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:44:29;12,3;12,7;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:48:01;12,3;12,7;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:51:34;12,3;13,0;96;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:55:06;12,5;13,2;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 04:58:37;12,5;13,2;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:02:09;12,6;13,2;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:05:41;12,6;13,0;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:09:13;12,6;13,0;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:12:40;12,6;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:16:17;12,6;12,7;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:19:49;12,5;12,8;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:23:22;12,5;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:26:54;12,5;12,8;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:30:25;12,4;12,5;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:33:57;12,3;12,6;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:37:30;12,3;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:41:02;12,4;12,7;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:44:34;12,3;12,5;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:48:07;12,3;12,7;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:51:39;12,3;12,8;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:55:11;12,3;12,8;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 05:58:44;12,4;13,0;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:02:16;12,4;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:05:48;12,5;12,9;95;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:09:20;12,6;12,9;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:12:53;12,6;12,8;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:16:24;12,5;12,8;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:19:55;12,5;13,0;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:23:27;12,5;12,9;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:26:59;12,6;13,0;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:30:32;12,6;12,9;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:34:04;12,6;13,0;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:37:35;12,6;13,0;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:41:08;12,6;13,0;93;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:44:39;12,6;12,9;93;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:48:11;12,6;12,8;94;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:55:20;12,6;12,9;93;;;;;;;;;;;;;;;;;;;;;;;;
24.10.2022 06:58:48;12,6;13,0;93;;;;;;;;;;;;;;;;;;;;;;;;
