Messzeitpunkt;Temperatur 1;Temperatur 2;Feuchte;Max Temp 1 Alarm Einstellung;Max Temp 1 Alarm Aktiv;Max Temp 1 Alarm Begin Event;Max Temp 1 Alarm Ende Event;Min Temp 1 Alarm Einstellung;Min Temp 1 Alarm Aktiv;Min Temp 1 Alarm Begin Event;Min Temp 1 Alarm Ende Event;Max Temp 2 Alarm Einstellung;Max Temp 2 Alarm Aktiv;Max Temp 2 Alarm Begin Event;Max Temp 2 Alarm Ende Event;Min Temp 2 Alarm Einstellung;Min Temp 2 Alarm Aktiv;Min Temp 2 Alarm Begin Event;Min Temp 2 Alarm Ende Event;Max Feuchte Alarm Einstellung;Max Feuchte Alarm Aktiv;Max Feuchte Alarm Begin Event;Max Humidity Alarm Ende Event;Min Feuchte Alarm Einstellung;Min Feuchte Alarm Aktiv;Min Feuchte Alarm Begin Event;Min Humidity Alarm Ende Event
17.10.2022 02:01:41;16,0;16,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:05:13;16,1;16,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:08:44;16,1;16,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:12:17;16,1;16,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:15:49;16,1;16,6;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:19:21;16,1;16,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:22:54;16,1;16,6;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:26:26;16,2;16,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:29:56;16,2;16,7;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:33:28;16,2;16,7;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:36:59;16,3;16,7;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:40:31;16,3;16,8;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:44:03;16,3;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:47:34;16,4;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:51:07;16,4;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:54:39;16,5;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 02:58:11;16,4;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:01:42;16,5;17,0;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:05:14;16,5;17,0;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:08:46;16,6;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:12:19;16,6;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:15:51;16,7;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:19:23;16,7;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:22:55;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:26:27;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:30:00;16,7;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:33:31;16,8;17,0;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:37:03;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:40:35;16,7;17,0;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:44:06;16,7;16,9;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:47:38;16,7;17,0;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:51:10;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:54:41;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 03:58:14;16,8;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:01:46;16,8;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:05:18;16,7;17,1;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:08:49;16,8;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:12:22;16,9;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:15:54;16,9;17,3;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:19:26;16,9;17,3;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:22:58;16,9;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:26:31;16,9;17,2;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:30:03;16,9;17,3;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:33:36;17,0;17,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:37:07;17,0;17,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:40:39;17,0;17,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:44:12;17,1;17,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:47:44;17,2;17,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:51:16;17,2;17,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:54:48;17,2;17,4;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 04:58:20;17,2;17,5;91;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:01:53;17,2;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:05:25;17,1;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:08:58;17,1;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:12:29;17,1;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:16:01;17,1;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:19:33;17,1;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:23:04;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:26:36;17,1;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:30:09;17,2;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:33:40;17,2;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:37:12;17,2;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:40:44;17,3;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:44:14;17,3;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:47:46;17,3;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:51:18;17,2;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:54:50;17,2;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 05:58:23;17,3;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:01:55;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:05:25;17,3;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:08:58;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:12:30;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:16:03;17,2;17,4;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:19:35;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:23:06;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:26:39;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:30:11;17,2;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:33:43;17,2;17,5;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:37:15;17,3;17,6;90;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:40:46;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:44:19;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:47:50;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:51:22;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:54:54;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 06:58:25;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:01:58;17,2;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:05:29;17,2;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:09:01;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:12:34;17,1;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:16:05;17,1;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:19:38;17,1;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:23:09;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:26:42;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:30:15;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:33:46;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:37:18;17,3;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:40:51;17,3;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:44:22;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:47:54;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:51:25;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:54:58;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 07:58:31;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:02:02;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:05:35;17,3;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:09:08;17,3;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:12:40;17,3;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:16:12;17,3;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:19:43;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:23:15;17,2;17,3;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:26:47;17,2;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:30:19;17,2;17,2;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:33:52;17,1;17,3;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:37:24;17,1;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:40:55;17,1;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:44:27;17,1;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:47:58;17,1;17,4;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:51:31;17,1;17,5;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:55:03;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 08:58:34;17,2;17,6;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:02:06;17,2;17,7;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:05:39;17,3;17,8;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:09:11;17,4;17,9;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:12:43;17,5;18,0;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:16:14;17,5;18,0;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:19:47;17,6;17,9;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:23:20;17,6;17,9;89;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:26:52;17,7;18,0;88;;;;;;;;;;;;;;;;;;;;;;;;
17.10.2022 09:30:24;17,7;18,1;88;;;;;;;;;;;;;;;;;;;;;;;;
